0000UNIQUECOUNT     	12593
FRO83606            	75	0.02%
FRO19651            	75	0.02%
GRO95834            	75	0.02%
SNA73873            	75	0.02%
DAI40144            	74	0.019%
DAI59283            	74	0.019%
DAI26513            	74	0.019%
DAI34421            	74	0.019%
ELE93240            	74	0.019%
FRO44645            	74	0.019%
FRO84225            	74	0.019%
GRO19967            	74	0.019%
GRO99838            	74	0.019%
DAI38291            	73	0.019%
DAI47822            	73	0.019%
DAI11927            	73	0.019%
FRO92337            	73	0.019%
GRO97180            	73	0.019%
SNA61470            	73	0.019%
SNA82050            	73	0.019%
SNA20815            	73	0.019%
DAI75733            	72	0.019%
DAI94298            	72	0.019%
ELE99049            	72	0.019%
ELE38861            	72	0.019%
ELE51246            	72	0.019%
FRO94302            	72	0.019%
FRO56832            	72	0.019%
FRO76487            	72	0.019%
GRO43377            	72	0.019%
SNA63881            	72	0.019%
SNA44599            	72	0.019%
SNA63636            	72	0.019%
DAI94579            	71	0.019%
DAI99654            	71	0.019%
DAI63627            	71	0.019%
ELE72949            	71	0.019%
ELE21199            	71	0.019%
FRO66500            	71	0.019%
FRO99370            	71	0.019%
GRO78505            	71	0.019%
SNA82274            	71	0.019%
SNA48856            	71	0.019%
SNA38329            	71	0.019%
SNA63265            	71	0.019%
DAI67608            	70	0.018%
DAI27009            	70	0.018%
DAI99201            	70	0.018%
ELE54632            	70	0.018%
FRO25919            	70	0.018%
FRO75423            	70	0.018%
FRO63338            	70	0.018%
GRO57027            	70	0.018%
SNA74802            	70	0.018%
SNA62728            	70	0.018%
SNA64787            	70	0.018%
DAI76338            	69	0.018%
DAI23510            	69	0.018%
DAI84736            	69	0.018%
ELE34257            	69	0.018%
ELE95948            	69	0.018%
FRO29259            	69	0.018%
GRO30034            	69	0.018%
GRO62909            	69	0.018%
GRO52589            	69	0.018%
SNA79694            	69	0.018%
SNA57758            	69	0.018%
SNA65489            	69	0.018%
SNA18327            	69	0.018%
SNA62198            	69	0.018%
DAI95016            	68	0.018%
DAI18793            	68	0.018%
DAI39399            	68	0.018%
ELE39391            	68	0.018%
ELE92412            	68	0.018%
FRO60967            	68	0.018%
GRO71017            	68	0.018%
GRO27419            	68	0.018%
GRO28354            	68	0.018%
SNA31252            	68	0.018%
SNA31781            	68	0.018%
SNA88497            	68	0.018%
SNA93964            	68	0.018%
DAI21189            	67	0.018%
DAI97369            	67	0.018%
DAI28010            	67	0.018%
DAI16689            	67	0.018%
FRO13184            	67	0.018%
GRO51820            	67	0.018%
DAI91535            	66	0.017%
DAI14942            	66	0.017%
DAI17368            	66	0.017%
DAI74296            	66	0.017%
ELE23393            	66	0.017%
ELE59444            	66	0.017%
ELE46976            	66	0.017%
ELE70296            	66	0.017%
FRO12450            	66	0.017%
FRO26308            	66	0.017%
FRO45628            	66	0.017%
FRO33570            	66	0.017%
GRO13466            	66	0.017%
GRO36515            	66	0.017%
DAI70680            	65	0.017%
DAI46827            	65	0.017%
DAI12680            	65	0.017%
ELE75389            	65	0.017%
ELE20069            	65	0.017%
FRO50627            	65	0.017%
FRO88600            	65	0.017%
GRO86826            	65	0.017%
GRO49326            	65	0.017%
GRO48408            	65	0.017%
SNA37944            	65	0.017%
DAI42494            	64	0.017%
